ParentPhenotype line ParentGenotype MutantPhenotype MutantGenotype KC_col1 KC_col4 Conditional_Complexity
0111100000001111111 363 212502202747656 111110000001111111 012502202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111110000001111111 112502202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111100000001111111 312502202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111100000001111111 412502202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111100000001111111 512502202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111100000001111111 612502202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111100000001111111 712502202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111100000001111111 202502202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111100000001111111 222502202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111110000001111111 232502202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111110000000111111 242502202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111110000000111111 252502202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111110000000111111 262502202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111110000000111111 272502202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111000000001111111 210502202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111100000001111111 211502202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111100000001111111 213502202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111110000001111111 214502202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111110000001111111 215502202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111110000001111111 216502202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111110000001111111 217502202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111111000000111111 212002202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111110000000111111 212102202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111110000001111111 212202202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111100000001111111 212302202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111100000001111111 212402202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111100000001111111 212602202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111100000001111111 212702202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111100000000111111 212512202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111100000000111111 212522202747656 19.12 16.68 9.60
0111100000001111111 363 212502202747656 111100000000111111 212532202747656 19.12 16.68 9.60
